SENTENCE_ID,ITEM_ID,LANGUAGE,PHENOMENON,TRIGGER_TYPE,CONDITION,SENTENCE,PRESUPPOSITION,DISTRACTOR,OPTION_A,OPTION_B,EXPECTED,COUNTERBALANCED,MODEL_RESPONSE,CORRECT,PROMPT
COS-006,BN-COS-006-AFF,BN,presupposition,change_of_state,affirmative,সেই গেটগুলো খুলেছে।,সেই গেটগুলো বন্ধ ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই গেটগুলো বন্ধ ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""সেই গেটগুলো খুলেছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) সেই গেটগুলো বন্ধ ছিল।
B) বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-006,BN-COS-006-NEG,BN,presupposition,change_of_state,negated,সেই গেটগুলো খোলেনি।,সেই গেটগুলো বন্ধ ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই গেটগুলো বন্ধ ছিল।,B,False,,,"বাক্য: ""সেই গেটগুলো খোলেনি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।
B) সেই গেটগুলো বন্ধ ছিল।

শুধু A বা B লিখুন।"
COS-007,BN-COS-007-AFF,BN,presupposition,change_of_state,affirmative,সেই চোখগুলো বন্ধ হয়েছে।,সেই চোখগুলো আগে খোলা ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই চোখগুলো আগে খোলা ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""সেই চোখগুলো বন্ধ হয়েছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) সেই চোখগুলো আগে খোলা ছিল।
B) বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-007,BN-COS-007-NEG,BN,presupposition,change_of_state,negated,সেই চোখগুলো বন্ধ হয়নি।,সেই চোখগুলো আগে খোলা ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই চোখগুলো আগে খোলা ছিল।,B,False,,,"বাক্য: ""সেই চোখগুলো বন্ধ হয়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।
B) সেই চোখগুলো আগে খোলা ছিল।

শুধু A বা B লিখুন।"
COS-008,BN-COS-008-AFF,BN,presupposition,change_of_state,affirmative,জানালাগুলো বন্ধ হয়ে গেছে।,জানালাগুলো খোলা ছিল।,বাক্যটি জানালাগুলো সম্পর্কে কোনো পূর্বধারণা করে না।,জানালাগুলো খোলা ছিল।,বাক্যটি জানালাগুলো সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""জানালাগুলো বন্ধ হয়ে গেছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) জানালাগুলো খোলা ছিল।
B) বাক্যটি জানালাগুলো সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-008,BN-COS-008-NEG,BN,presupposition,change_of_state,negated,জানালাগুলো বন্ধ হয়নি।,জানালাগুলো খোলা ছিল।,বাক্যটি জানালাগুলো সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি জানালাগুলো সম্পর্কে কোনো পূর্বধারণা করে না।,জানালাগুলো খোলা ছিল।,B,False,,,"বাক্য: ""জানালাগুলো বন্ধ হয়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি জানালাগুলো সম্পর্কে কোনো পূর্বধারণা করে না।
B) জানালাগুলো খোলা ছিল।

শুধু A বা B লিখুন।"
COS-009,BN-COS-009-AFF,BN,presupposition,change_of_state,affirmative,ডন পালিয়ে গেছে।,ডন আগে বন্দী ছিল।,বাক্যটি ডন সম্পর্কে কোনো পূর্বধারণা করে না।,ডন আগে বন্দী ছিল।,বাক্যটি ডন সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""ডন পালিয়ে গেছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) ডন আগে বন্দী ছিল।
B) বাক্যটি ডন সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-009,BN-COS-009-NEG,BN,presupposition,change_of_state,negated,ডন পালায়নি।,ডন আগে বন্দী ছিল।,বাক্যটি ডন সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি ডন সম্পর্কে কোনো পূর্বধারণা করে না।,ডন আগে বন্দী ছিল।,B,False,,,"বাক্য: ""ডন পালায়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি ডন সম্পর্কে কোনো পূর্বধারণা করে না।
B) ডন আগে বন্দী ছিল।

শুধু A বা B লিখুন।"
COS-010,BN-COS-010-AFF,BN,presupposition,change_of_state,affirmative,গ্রেস পড়ে গেছে।,গ্রেস উঁচুতে ছিল।,বাক্যটি গ্রেস সম্পর্কে কোনো পূর্বধারণা করে না।,গ্রেস উঁচুতে ছিল।,বাক্যটি গ্রেস সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""গ্রেস পড়ে গেছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) গ্রেস উঁচুতে ছিল।
B) বাক্যটি গ্রেস সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-010,BN-COS-010-NEG,BN,presupposition,change_of_state,negated,গ্রেস পড়েনি।,গ্রেস উঁচুতে ছিল।,বাক্যটি গ্রেস সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি গ্রেস সম্পর্কে কোনো পূর্বধারণা করে না।,গ্রেস উঁচুতে ছিল।,B,False,,,"বাক্য: ""গ্রেস পড়েনি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি গ্রেস সম্পর্কে কোনো পূর্বধারণা করে না।
B) গ্রেস উঁচুতে ছিল।

শুধু A বা B লিখুন।"
COS-011,BN-COS-011-AFF,BN,presupposition,change_of_state,affirmative,ব্রুস চাকরি পেয়েছে।,ব্রুস আগে বেকার ছিল।,বাক্যটি ব্রুস সম্পর্কে কোনো পূর্বধারণা করে না।,ব্রুস আগে বেকার ছিল।,বাক্যটি ব্রুস সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""ব্রুস চাকরি পেয়েছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) ব্রুস আগে বেকার ছিল।
B) বাক্যটি ব্রুস সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-011,BN-COS-011-NEG,BN,presupposition,change_of_state,negated,ব্রুস চাকরি পায়নি।,ব্রুস আগে বেকার ছিল।,বাক্যটি ব্রুস সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি ব্রুস সম্পর্কে কোনো পূর্বধারণা করে না।,ব্রুস আগে বেকার ছিল।,B,False,,,"বাক্য: ""ব্রুস চাকরি পায়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি ব্রুস সম্পর্কে কোনো পূর্বধারণা করে না।
B) ব্রুস আগে বেকার ছিল।

শুধু A বা B লিখুন।"
COS-012,BN-COS-012-AFF,BN,presupposition,change_of_state,affirmative,ব্রেটকে চাকরি থেকে বরখাস্ত করা হয়েছে।,ব্রেট আগে চাকরি করত।,বাক্যটি ব্রেটকে সম্পর্কে কোনো পূর্বধারণা করে না।,ব্রেট আগে চাকরি করত।,বাক্যটি ব্রেটকে সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""ব্রেটকে চাকরি থেকে বরখাস্ত করা হয়েছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) ব্রেট আগে চাকরি করত।
B) বাক্যটি ব্রেটকে সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-012,BN-COS-012-NEG,BN,presupposition,change_of_state,negated,ব্রেটকে চাকরি থেকে বরখাস্ত করা হয়নি।,ব্রেট আগে চাকরি করত।,বাক্যটি ব্রেটকে সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি ব্রেটকে সম্পর্কে কোনো পূর্বধারণা করে না।,ব্রেট আগে চাকরি করত।,B,False,,,"বাক্য: ""ব্রেটকে চাকরি থেকে বরখাস্ত করা হয়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি ব্রেটকে সম্পর্কে কোনো পূর্বধারণা করে না।
B) ব্রেট আগে চাকরি করত।

শুধু A বা B লিখুন।"
COS-013,BN-COS-013-AFF,BN,presupposition,change_of_state,affirmative,মারিয়া সেই লোকটিকে সুস্থ করছিল।,সেই লোকটি আগে অসুস্থ ছিল।,বাক্যটি মারিয়া সম্পর্কে কোনো পূর্বধারণা করে না।,সেই লোকটি আগে অসুস্থ ছিল।,বাক্যটি মারিয়া সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""মারিয়া সেই লোকটিকে সুস্থ করছিল।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) সেই লোকটি আগে অসুস্থ ছিল।
B) বাক্যটি মারিয়া সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-013,BN-COS-013-NEG,BN,presupposition,change_of_state,negated,মারিয়া সেই লোকটিকে সুস্থ করছিল না।,সেই লোকটি আগে অসুস্থ ছিল।,বাক্যটি মারিয়া সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি মারিয়া সম্পর্কে কোনো পূর্বধারণা করে না।,সেই লোকটি আগে অসুস্থ ছিল।,B,False,,,"বাক্য: ""মারিয়া সেই লোকটিকে সুস্থ করছিল না।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি মারিয়া সম্পর্কে কোনো পূর্বধারণা করে না।
B) সেই লোকটি আগে অসুস্থ ছিল।

শুধু A বা B লিখুন।"
COS-014,BN-COS-014-AFF,BN,presupposition,change_of_state,affirmative,অতিথিটি জনকে খুঁজে পেয়েছিল।,জন আগে অজানা জায়গায় ছিল।,বাক্যটি অতিথিটি সম্পর্কে কোনো পূর্বধারণা করে না।,জন আগে অজানা জায়গায় ছিল।,বাক্যটি অতিথিটি সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""অতিথিটি জনকে খুঁজে পেয়েছিল।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) জন আগে অজানা জায়গায় ছিল।
B) বাক্যটি অতিথিটি সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-014,BN-COS-014-NEG,BN,presupposition,change_of_state,negated,অতিথিটি জনকে খুঁজে পায়নি।,জন আগে অজানা জায়গায় ছিল।,বাক্যটি অতিথিটি সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি অতিথিটি সম্পর্কে কোনো পূর্বধারণা করে না।,জন আগে অজানা জায়গায় ছিল।,B,False,,,"বাক্য: ""অতিথিটি জনকে খুঁজে পায়নি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি অতিথিটি সম্পর্কে কোনো পূর্বধারণা করে না।
B) জন আগে অজানা জায়গায় ছিল।

শুধু A বা B লিখুন।"
COS-015,BN-COS-015-AFF,BN,presupposition,change_of_state,affirmative,এই শিক্ষক সেই লোকটিকে প্রকাশ করছিলেন।,সেই লোকটি আগে লুকানো ছিল।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই লোকটি আগে লুকানো ছিল।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""এই শিক্ষক সেই লোকটিকে প্রকাশ করছিলেন।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) সেই লোকটি আগে লুকানো ছিল।
B) বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-015,BN-COS-015-NEG,BN,presupposition,change_of_state,negated,এই শিক্ষক সেই লোকটিকে প্রকাশ করছিলেন না।,সেই লোকটি আগে লুকানো ছিল।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই লোকটি আগে লুকানো ছিল।,B,False,,,"বাক্য: ""এই শিক্ষক সেই লোকটিকে প্রকাশ করছিলেন না।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।
B) সেই লোকটি আগে লুকানো ছিল।

শুধু A বা B লিখুন।"
COS-016,BN-COS-016-AFF,BN,presupposition,change_of_state,affirmative,ওমর সারাকে লুকিয়ে রাখছে।,সারা আগে দৃশ্যমান ছিল।,বাক্যটি ওমর সম্পর্কে কোনো পূর্বধারণা করে না।,সারা আগে দৃশ্যমান ছিল।,বাক্যটি ওমর সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""ওমর সারাকে লুকিয়ে রাখছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) সারা আগে দৃশ্যমান ছিল।
B) বাক্যটি ওমর সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-016,BN-COS-016-NEG,BN,presupposition,change_of_state,negated,ওমর সারাকে লুকিয়ে রাখছে না।,সারা আগে দৃশ্যমান ছিল।,বাক্যটি ওমর সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি ওমর সম্পর্কে কোনো পূর্বধারণা করে না।,সারা আগে দৃশ্যমান ছিল।,B,False,,,"বাক্য: ""ওমর সারাকে লুকিয়ে রাখছে না।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি ওমর সম্পর্কে কোনো পূর্বধারণা করে না।
B) সারা আগে দৃশ্যমান ছিল।

শুধু A বা B লিখুন।"
COS-017,BN-COS-017-AFF,BN,presupposition,change_of_state,affirmative,এই বরফখণ্ডটি জমে যাচ্ছে।,এই বরফখণ্ডটি আগে তরল ছিল।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,এই বরফখণ্ডটি আগে তরল ছিল।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""এই বরফখণ্ডটি জমে যাচ্ছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) এই বরফখণ্ডটি আগে তরল ছিল।
B) বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-017,BN-COS-017-NEG,BN,presupposition,change_of_state,negated,এই বরফখণ্ডটি জমছে না।,এই বরফখণ্ডটি আগে তরল ছিল।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।,এই বরফখণ্ডটি আগে তরল ছিল।,B,False,,,"বাক্য: ""এই বরফখণ্ডটি জমছে না।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি এই সম্পর্কে কোনো পূর্বধারণা করে না।
B) এই বরফখণ্ডটি আগে তরল ছিল।

শুধু A বা B লিখুন।"
COS-018,BN-COS-018-AFF,BN,presupposition,change_of_state,affirmative,শসাটি পেকে গিয়েছিল।,শসাটি আগে কাঁচা ছিল।,বাক্যটি শসাটি সম্পর্কে কোনো পূর্বধারণা করে না।,শসাটি আগে কাঁচা ছিল।,বাক্যটি শসাটি সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""শসাটি পেকে গিয়েছিল।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) শসাটি আগে কাঁচা ছিল।
B) বাক্যটি শসাটি সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-018,BN-COS-018-NEG,BN,presupposition,change_of_state,negated,শসাটি পাকেনি।,শসাটি আগে কাঁচা ছিল।,বাক্যটি শসাটি সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি শসাটি সম্পর্কে কোনো পূর্বধারণা করে না।,শসাটি আগে কাঁচা ছিল।,B,False,,,"বাক্য: ""শসাটি পাকেনি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি শসাটি সম্পর্কে কোনো পূর্বধারণা করে না।
B) শসাটি আগে কাঁচা ছিল।

শুধু A বা B লিখুন।"
COS-019,BN-COS-019-AFF,BN,presupposition,change_of_state,affirmative,সেই টমেটোগুলো পচে গেছে।,সেই টমেটোগুলো আগে তাজা ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই টমেটোগুলো আগে তাজা ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,A,True,,,"বাক্য: ""সেই টমেটোগুলো পচে গেছে।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) সেই টমেটোগুলো আগে তাজা ছিল।
B) বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।

শুধু A বা B লিখুন।"
COS-019,BN-COS-019-NEG,BN,presupposition,change_of_state,negated,সেই টমেটোগুলো পচেনি।,সেই টমেটোগুলো আগে তাজা ছিল।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।,সেই টমেটোগুলো আগে তাজা ছিল।,B,False,,,"বাক্য: ""সেই টমেটোগুলো পচেনি।""

এই বাক্যটি কিছু একটা পূর্বধারণা হিসেবে ধরে নিচ্ছে।
এটি কোন পূর্বধারণা বহন করছে?

A) বাক্যটি সেই সম্পর্কে কোনো পূর্বধারণা করে না।
B) সেই টমেটোগুলো আগে তাজা ছিল।

শুধু A বা B লিখুন।"
