SENTENCE_ID,ITEM_ID,LANGUAGE,PHENOMENON,SCALAR_TERM,CONDITION,SENTENCE,OPTION_LITERAL,OPTION_PRAGMATIC,OPTION_A,OPTION_B,EXPECTED,CORRECT_TYPE,COUNTERBALANCED,MODEL_RESPONSE,RUN1,RUN2,RUN3,MAJORITY_RESPONSE,CORRECT,PROMPT
SOME-004,EN-SOME-004-UB,EN,scalar_implicature,some,upper_bound_QUD,Some students had complained.,At least one of the students had complained — and possibly all of them,At least one of the students had complained — but not all of them,At least one of the students had complained — but not all of them,At least one of the students had complained — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the students had complained?""
Speaker B: ""Some students had complained.""

A) At least one of the students had complained — but not all of them
B) At least one of the students had complained — and possibly all of them

Answer with only A or B."
SOME-004,EN-SOME-004-LB,EN,scalar_implicature,some,lower_bound_QUD,Some students had complained.,At least one of the students had complained — and possibly all of them,At least one of the students had complained — but not all of them,At least one of the students had complained — and possibly all of them,At least one of the students had complained — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the students had complained?""
Speaker B: ""Some students had complained.""

A) At least one of the students had complained — and possibly all of them
B) At least one of the students had complained — but not all of them

Answer with only A or B."
SOME-005,EN-SOME-005-NC,EN,scalar_implicature,some,no_context,Some men were leaving.,At least one of the men were leaving — and possibly all of them,At least one of the men were leaving — but not all of them,At least one of the men were leaving — but not all of them,At least one of the men were leaving — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some men were leaving.""

A) At least one of the men were leaving — but not all of them
B) At least one of the men were leaving — and possibly all of them

Answer with only A or B."
SOME-005,EN-SOME-005-UB,EN,scalar_implicature,some,upper_bound_QUD,Some men were leaving.,At least one of the men were leaving — and possibly all of them,At least one of the men were leaving — but not all of them,At least one of the men were leaving — and possibly all of them,At least one of the men were leaving — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the men were leaving?""
Speaker B: ""Some men were leaving.""

A) At least one of the men were leaving — and possibly all of them
B) At least one of the men were leaving — but not all of them

Answer with only A or B."
SOME-005,EN-SOME-005-LB,EN,scalar_implicature,some,lower_bound_QUD,Some men were leaving.,At least one of the men were leaving — and possibly all of them,At least one of the men were leaving — but not all of them,At least one of the men were leaving — but not all of them,At least one of the men were leaving — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the men were leaving?""
Speaker B: ""Some men were leaving.""

A) At least one of the men were leaving — but not all of them
B) At least one of the men were leaving — and possibly all of them

Answer with only A or B."
SOME-006,EN-SOME-006-NC,EN,scalar_implicature,some,no_context,Some children questioned Keith.,At least one of the children questioned Keith — and possibly all of them,At least one of the children questioned Keith — but not all of them,At least one of the children questioned Keith — and possibly all of them,At least one of the children questioned Keith — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some children questioned Keith.""

A) At least one of the children questioned Keith — and possibly all of them
B) At least one of the children questioned Keith — but not all of them

Answer with only A or B."
SOME-006,EN-SOME-006-UB,EN,scalar_implicature,some,upper_bound_QUD,Some children questioned Keith.,At least one of the children questioned Keith — and possibly all of them,At least one of the children questioned Keith — but not all of them,At least one of the children questioned Keith — but not all of them,At least one of the children questioned Keith — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the children questioned Keith?""
Speaker B: ""Some children questioned Keith.""

A) At least one of the children questioned Keith — but not all of them
B) At least one of the children questioned Keith — and possibly all of them

Answer with only A or B."
SOME-006,EN-SOME-006-LB,EN,scalar_implicature,some,lower_bound_QUD,Some children questioned Keith.,At least one of the children questioned Keith — and possibly all of them,At least one of the children questioned Keith — but not all of them,At least one of the children questioned Keith — and possibly all of them,At least one of the children questioned Keith — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the children questioned Keith?""
Speaker B: ""Some children questioned Keith.""

A) At least one of the children questioned Keith — and possibly all of them
B) At least one of the children questioned Keith — but not all of them

Answer with only A or B."
SOME-007,EN-SOME-007-NC,EN,scalar_implicature,some,no_context,Some people had questioned Steven.,At least one of the people had questioned Steven — and possibly all of them,At least one of the people had questioned Steven — but not all of them,At least one of the people had questioned Steven — but not all of them,At least one of the people had questioned Steven — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some people had questioned Steven.""

A) At least one of the people had questioned Steven — but not all of them
B) At least one of the people had questioned Steven — and possibly all of them

Answer with only A or B."
SOME-007,EN-SOME-007-UB,EN,scalar_implicature,some,upper_bound_QUD,Some people had questioned Steven.,At least one of the people had questioned Steven — and possibly all of them,At least one of the people had questioned Steven — but not all of them,At least one of the people had questioned Steven — and possibly all of them,At least one of the people had questioned Steven — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the people had questioned Steven?""
Speaker B: ""Some people had questioned Steven.""

A) At least one of the people had questioned Steven — and possibly all of them
B) At least one of the people had questioned Steven — but not all of them

Answer with only A or B."
SOME-007,EN-SOME-007-LB,EN,scalar_implicature,some,lower_bound_QUD,Some people had questioned Steven.,At least one of the people had questioned Steven — and possibly all of them,At least one of the people had questioned Steven — but not all of them,At least one of the people had questioned Steven — but not all of them,At least one of the people had questioned Steven — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the people had questioned Steven?""
Speaker B: ""Some people had questioned Steven.""

A) At least one of the people had questioned Steven — but not all of them
B) At least one of the people had questioned Steven — and possibly all of them

Answer with only A or B."
SOME-008,EN-SOME-008-NC,EN,scalar_implicature,some,no_context,Some people were wearing the scarves.,At least one of the people were wearing the scarves — and possibly all of them,At least one of the people were wearing the scarves — but not all of them,At least one of the people were wearing the scarves — and possibly all of them,At least one of the people were wearing the scarves — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some people were wearing the scarves.""

A) At least one of the people were wearing the scarves — and possibly all of them
B) At least one of the people were wearing the scarves — but not all of them

Answer with only A or B."
SOME-008,EN-SOME-008-UB,EN,scalar_implicature,some,upper_bound_QUD,Some people were wearing the scarves.,At least one of the people were wearing the scarves — and possibly all of them,At least one of the people were wearing the scarves — but not all of them,At least one of the people were wearing the scarves — but not all of them,At least one of the people were wearing the scarves — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the people were wearing the scarves?""
Speaker B: ""Some people were wearing the scarves.""

A) At least one of the people were wearing the scarves — but not all of them
B) At least one of the people were wearing the scarves — and possibly all of them

Answer with only A or B."
SOME-008,EN-SOME-008-LB,EN,scalar_implicature,some,lower_bound_QUD,Some people were wearing the scarves.,At least one of the people were wearing the scarves — and possibly all of them,At least one of the people were wearing the scarves — but not all of them,At least one of the people were wearing the scarves — and possibly all of them,At least one of the people were wearing the scarves — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the people were wearing the scarves?""
Speaker B: ""Some people were wearing the scarves.""

A) At least one of the people were wearing the scarves — and possibly all of them
B) At least one of the people were wearing the scarves — but not all of them

Answer with only A or B."
SOME-009,EN-SOME-009-NC,EN,scalar_implicature,some,no_context,Some drivers would research the governments.,At least one of the drivers would research the governments — and possibly all of them,At least one of the drivers would research the governments — but not all of them,At least one of the drivers would research the governments — but not all of them,At least one of the drivers would research the governments — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some drivers would research the governments.""

A) At least one of the drivers would research the governments — but not all of them
B) At least one of the drivers would research the governments — and possibly all of them

Answer with only A or B."
SOME-009,EN-SOME-009-UB,EN,scalar_implicature,some,upper_bound_QUD,Some drivers would research the governments.,At least one of the drivers would research the governments — and possibly all of them,At least one of the drivers would research the governments — but not all of them,At least one of the drivers would research the governments — and possibly all of them,At least one of the drivers would research the governments — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the drivers would research the governments?""
Speaker B: ""Some drivers would research the governments.""

A) At least one of the drivers would research the governments — and possibly all of them
B) At least one of the drivers would research the governments — but not all of them

Answer with only A or B."
SOME-009,EN-SOME-009-LB,EN,scalar_implicature,some,lower_bound_QUD,Some drivers would research the governments.,At least one of the drivers would research the governments — and possibly all of them,At least one of the drivers would research the governments — but not all of them,At least one of the drivers would research the governments — but not all of them,At least one of the drivers would research the governments — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the drivers would research the governments?""
Speaker B: ""Some drivers would research the governments.""

A) At least one of the drivers would research the governments — but not all of them
B) At least one of the drivers would research the governments — and possibly all of them

Answer with only A or B."
SOME-010,EN-SOME-010-NC,EN,scalar_implicature,some,no_context,Some people should reference the essays.,At least one of the people should reference the essays — and possibly all of them,At least one of the people should reference the essays — but not all of them,At least one of the people should reference the essays — and possibly all of them,At least one of the people should reference the essays — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some people should reference the essays.""

A) At least one of the people should reference the essays — and possibly all of them
B) At least one of the people should reference the essays — but not all of them

Answer with only A or B."
SOME-010,EN-SOME-010-UB,EN,scalar_implicature,some,upper_bound_QUD,Some people should reference the essays.,At least one of the people should reference the essays — and possibly all of them,At least one of the people should reference the essays — but not all of them,At least one of the people should reference the essays — but not all of them,At least one of the people should reference the essays — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the people should reference the essays?""
Speaker B: ""Some people should reference the essays.""

A) At least one of the people should reference the essays — but not all of them
B) At least one of the people should reference the essays — and possibly all of them

Answer with only A or B."
SOME-010,EN-SOME-010-LB,EN,scalar_implicature,some,lower_bound_QUD,Some people should reference the essays.,At least one of the people should reference the essays — and possibly all of them,At least one of the people should reference the essays — but not all of them,At least one of the people should reference the essays — and possibly all of them,At least one of the people should reference the essays — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the people should reference the essays?""
Speaker B: ""Some people should reference the essays.""

A) At least one of the people should reference the essays — and possibly all of them
B) At least one of the people should reference the essays — but not all of them

Answer with only A or B."
SOME-011,EN-SOME-011-NC,EN,scalar_implicature,some,no_context,Some students should forget about who won't mutter.,At least one of the students should forget about who won't mutter — and possibly all of them,At least one of the students should forget about who won't mutter — but not all of them,At least one of the students should forget about who won't mutter — but not all of them,At least one of the students should forget about who won't mutter — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some students should forget about who won't mutter.""

A) At least one of the students should forget about who won't mutter — but not all of them
B) At least one of the students should forget about who won't mutter — and possibly all of them

Answer with only A or B."
SOME-011,EN-SOME-011-UB,EN,scalar_implicature,some,upper_bound_QUD,Some students should forget about who won't mutter.,At least one of the students should forget about who won't mutter — and possibly all of them,At least one of the students should forget about who won't mutter — but not all of them,At least one of the students should forget about who won't mutter — and possibly all of them,At least one of the students should forget about who won't mutter — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the students should forget about who won't mutter?""
Speaker B: ""Some students should forget about who won't mutter.""

A) At least one of the students should forget about who won't mutter — and possibly all of them
B) At least one of the students should forget about who won't mutter — but not all of them

Answer with only A or B."
SOME-011,EN-SOME-011-LB,EN,scalar_implicature,some,lower_bound_QUD,Some students should forget about who won't mutter.,At least one of the students should forget about who won't mutter — and possibly all of them,At least one of the students should forget about who won't mutter — but not all of them,At least one of the students should forget about who won't mutter — but not all of them,At least one of the students should forget about who won't mutter — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the students should forget about who won't mutter?""
Speaker B: ""Some students should forget about who won't mutter.""

A) At least one of the students should forget about who won't mutter — but not all of them
B) At least one of the students should forget about who won't mutter — and possibly all of them

Answer with only A or B."
SOME-012,EN-SOME-012-NC,EN,scalar_implicature,some,no_context,Some teenagers criticize Guy.,At least one of the teenagers criticize Guy — and possibly all of them,At least one of the teenagers criticize Guy — but not all of them,At least one of the teenagers criticize Guy — and possibly all of them,At least one of the teenagers criticize Guy — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some teenagers criticize Guy.""

A) At least one of the teenagers criticize Guy — and possibly all of them
B) At least one of the teenagers criticize Guy — but not all of them

Answer with only A or B."
SOME-012,EN-SOME-012-UB,EN,scalar_implicature,some,upper_bound_QUD,Some teenagers criticize Guy.,At least one of the teenagers criticize Guy — and possibly all of them,At least one of the teenagers criticize Guy — but not all of them,At least one of the teenagers criticize Guy — but not all of them,At least one of the teenagers criticize Guy — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the teenagers criticize Guy?""
Speaker B: ""Some teenagers criticize Guy.""

A) At least one of the teenagers criticize Guy — but not all of them
B) At least one of the teenagers criticize Guy — and possibly all of them

Answer with only A or B."
SOME-012,EN-SOME-012-LB,EN,scalar_implicature,some,lower_bound_QUD,Some teenagers criticize Guy.,At least one of the teenagers criticize Guy — and possibly all of them,At least one of the teenagers criticize Guy — but not all of them,At least one of the teenagers criticize Guy — and possibly all of them,At least one of the teenagers criticize Guy — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the teenagers criticize Guy?""
Speaker B: ""Some teenagers criticize Guy.""

A) At least one of the teenagers criticize Guy — and possibly all of them
B) At least one of the teenagers criticize Guy — but not all of them

Answer with only A or B."
SOME-013,EN-SOME-013-NC,EN,scalar_implicature,some,no_context,Some actresses did react.,At least one of the actresses did react — and possibly all of them,At least one of the actresses did react — but not all of them,At least one of the actresses did react — but not all of them,At least one of the actresses did react — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some actresses did react.""

A) At least one of the actresses did react — but not all of them
B) At least one of the actresses did react — and possibly all of them

Answer with only A or B."
SOME-013,EN-SOME-013-UB,EN,scalar_implicature,some,upper_bound_QUD,Some actresses did react.,At least one of the actresses did react — and possibly all of them,At least one of the actresses did react — but not all of them,At least one of the actresses did react — and possibly all of them,At least one of the actresses did react — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the actresses did react?""
Speaker B: ""Some actresses did react.""

A) At least one of the actresses did react — and possibly all of them
B) At least one of the actresses did react — but not all of them

Answer with only A or B."
SOME-013,EN-SOME-013-LB,EN,scalar_implicature,some,lower_bound_QUD,Some actresses did react.,At least one of the actresses did react — and possibly all of them,At least one of the actresses did react — but not all of them,At least one of the actresses did react — but not all of them,At least one of the actresses did react — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the actresses did react?""
Speaker B: ""Some actresses did react.""

A) At least one of the actresses did react — but not all of them
B) At least one of the actresses did react — and possibly all of them

Answer with only A or B."
SOME-014,EN-SOME-014-NC,EN,scalar_implicature,some,no_context,Some customers might play.,At least one of the customers might play — and possibly all of them,At least one of the customers might play — but not all of them,At least one of the customers might play — and possibly all of them,At least one of the customers might play — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some customers might play.""

A) At least one of the customers might play — and possibly all of them
B) At least one of the customers might play — but not all of them

Answer with only A or B."
SOME-014,EN-SOME-014-UB,EN,scalar_implicature,some,upper_bound_QUD,Some customers might play.,At least one of the customers might play — and possibly all of them,At least one of the customers might play — but not all of them,At least one of the customers might play — but not all of them,At least one of the customers might play — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the customers might play?""
Speaker B: ""Some customers might play.""

A) At least one of the customers might play — but not all of them
B) At least one of the customers might play — and possibly all of them

Answer with only A or B."
SOME-014,EN-SOME-014-LB,EN,scalar_implicature,some,lower_bound_QUD,Some customers might play.,At least one of the customers might play — and possibly all of them,At least one of the customers might play — but not all of them,At least one of the customers might play — and possibly all of them,At least one of the customers might play — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the customers might play?""
Speaker B: ""Some customers might play.""

A) At least one of the customers might play — and possibly all of them
B) At least one of the customers might play — but not all of them

Answer with only A or B."
SOME-015,EN-SOME-015-NC,EN,scalar_implicature,some,no_context,Some guys were cooking.,At least one of the guys were cooking — and possibly all of them,At least one of the guys were cooking — but not all of them,At least one of the guys were cooking — but not all of them,At least one of the guys were cooking — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some guys were cooking.""

A) At least one of the guys were cooking — but not all of them
B) At least one of the guys were cooking — and possibly all of them

Answer with only A or B."
SOME-015,EN-SOME-015-UB,EN,scalar_implicature,some,upper_bound_QUD,Some guys were cooking.,At least one of the guys were cooking — and possibly all of them,At least one of the guys were cooking — but not all of them,At least one of the guys were cooking — and possibly all of them,At least one of the guys were cooking — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the guys were cooking?""
Speaker B: ""Some guys were cooking.""

A) At least one of the guys were cooking — and possibly all of them
B) At least one of the guys were cooking — but not all of them

Answer with only A or B."
SOME-015,EN-SOME-015-LB,EN,scalar_implicature,some,lower_bound_QUD,Some guys were cooking.,At least one of the guys were cooking — and possibly all of them,At least one of the guys were cooking — but not all of them,At least one of the guys were cooking — but not all of them,At least one of the guys were cooking — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the guys were cooking?""
Speaker B: ""Some guys were cooking.""

A) At least one of the guys were cooking — but not all of them
B) At least one of the guys were cooking — and possibly all of them

Answer with only A or B."
SOME-016,EN-SOME-016-NC,EN,scalar_implicature,some,no_context,Some rabbits will leave.,At least one of the rabbits will leave — and possibly all of them,At least one of the rabbits will leave — but not all of them,At least one of the rabbits will leave — and possibly all of them,At least one of the rabbits will leave — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some rabbits will leave.""

A) At least one of the rabbits will leave — and possibly all of them
B) At least one of the rabbits will leave — but not all of them

Answer with only A or B."
SOME-016,EN-SOME-016-UB,EN,scalar_implicature,some,upper_bound_QUD,Some rabbits will leave.,At least one of the rabbits will leave — and possibly all of them,At least one of the rabbits will leave — but not all of them,At least one of the rabbits will leave — but not all of them,At least one of the rabbits will leave — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the rabbits will leave?""
Speaker B: ""Some rabbits will leave.""

A) At least one of the rabbits will leave — but not all of them
B) At least one of the rabbits will leave — and possibly all of them

Answer with only A or B."
SOME-016,EN-SOME-016-LB,EN,scalar_implicature,some,lower_bound_QUD,Some rabbits will leave.,At least one of the rabbits will leave — and possibly all of them,At least one of the rabbits will leave — but not all of them,At least one of the rabbits will leave — and possibly all of them,At least one of the rabbits will leave — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the rabbits will leave?""
Speaker B: ""Some rabbits will leave.""

A) At least one of the rabbits will leave — and possibly all of them
B) At least one of the rabbits will leave — but not all of them

Answer with only A or B."
SOME-017,EN-SOME-017-NC,EN,scalar_implicature,some,no_context,Some waiters do reunite.,At least one of the waiters do reunite — and possibly all of them,At least one of the waiters do reunite — but not all of them,At least one of the waiters do reunite — but not all of them,At least one of the waiters do reunite — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some waiters do reunite.""

A) At least one of the waiters do reunite — but not all of them
B) At least one of the waiters do reunite — and possibly all of them

Answer with only A or B."
SOME-017,EN-SOME-017-UB,EN,scalar_implicature,some,upper_bound_QUD,Some waiters do reunite.,At least one of the waiters do reunite — and possibly all of them,At least one of the waiters do reunite — but not all of them,At least one of the waiters do reunite — and possibly all of them,At least one of the waiters do reunite — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the waiters do reunite?""
Speaker B: ""Some waiters do reunite.""

A) At least one of the waiters do reunite — and possibly all of them
B) At least one of the waiters do reunite — but not all of them

Answer with only A or B."
SOME-017,EN-SOME-017-LB,EN,scalar_implicature,some,lower_bound_QUD,Some waiters do reunite.,At least one of the waiters do reunite — and possibly all of them,At least one of the waiters do reunite — but not all of them,At least one of the waiters do reunite — but not all of them,At least one of the waiters do reunite — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the waiters do reunite?""
Speaker B: ""Some waiters do reunite.""

A) At least one of the waiters do reunite — but not all of them
B) At least one of the waiters do reunite — and possibly all of them

Answer with only A or B."
SOME-018,EN-SOME-018-NC,EN,scalar_implicature,some,no_context,Some bicycles do roll.,At least one of the bicycles do roll — and possibly all of them,At least one of the bicycles do roll — but not all of them,At least one of the bicycles do roll — and possibly all of them,At least one of the bicycles do roll — but not all of them,B,pragmatic,False,A,,,,,False,"Sentence: ""Some bicycles do roll.""

A) At least one of the bicycles do roll — and possibly all of them
B) At least one of the bicycles do roll — but not all of them

Answer with only A or B."
SOME-018,EN-SOME-018-UB,EN,scalar_implicature,some,upper_bound_QUD,Some bicycles do roll.,At least one of the bicycles do roll — and possibly all of them,At least one of the bicycles do roll — but not all of them,At least one of the bicycles do roll — but not all of them,At least one of the bicycles do roll — and possibly all of them,A,pragmatic,True,B,,,,,False,"Speaker A: ""Did all of the bicycles do roll?""
Speaker B: ""Some bicycles do roll.""

A) At least one of the bicycles do roll — but not all of them
B) At least one of the bicycles do roll — and possibly all of them

Answer with only A or B."
SOME-018,EN-SOME-018-LB,EN,scalar_implicature,some,lower_bound_QUD,Some bicycles do roll.,At least one of the bicycles do roll — and possibly all of them,At least one of the bicycles do roll — but not all of them,At least one of the bicycles do roll — and possibly all of them,At least one of the bicycles do roll — but not all of them,A,literal,False,A,,,,,True,"Speaker A: ""Did any of the bicycles do roll?""
Speaker B: ""Some bicycles do roll.""

A) At least one of the bicycles do roll — and possibly all of them
B) At least one of the bicycles do roll — but not all of them

Answer with only A or B."
SOME-019,EN-SOME-019-NC,EN,scalar_implicature,some,no_context,Some dancers can chat.,At least one of the dancers can chat — and possibly all of them,At least one of the dancers can chat — but not all of them,At least one of the dancers can chat — but not all of them,At least one of the dancers can chat — and possibly all of them,A,pragmatic,True,B,,,,,False,"Sentence: ""Some dancers can chat.""

A) At least one of the dancers can chat — but not all of them
B) At least one of the dancers can chat — and possibly all of them

Answer with only A or B."
SOME-019,EN-SOME-019-UB,EN,scalar_implicature,some,upper_bound_QUD,Some dancers can chat.,At least one of the dancers can chat — and possibly all of them,At least one of the dancers can chat — but not all of them,At least one of the dancers can chat — and possibly all of them,At least one of the dancers can chat — but not all of them,B,pragmatic,False,A,,,,,False,"Speaker A: ""Did all of the dancers can chat?""
Speaker B: ""Some dancers can chat.""

A) At least one of the dancers can chat — and possibly all of them
B) At least one of the dancers can chat — but not all of them

Answer with only A or B."
SOME-019,EN-SOME-019-LB,EN,scalar_implicature,some,lower_bound_QUD,Some dancers can chat.,At least one of the dancers can chat — and possibly all of them,At least one of the dancers can chat — but not all of them,At least one of the dancers can chat — but not all of them,At least one of the dancers can chat — and possibly all of them,B,literal,True,B,,,,,True,"Speaker A: ""Did any of the dancers can chat?""
Speaker B: ""Some dancers can chat.""

A) At least one of the dancers can chat — but not all of them
B) At least one of the dancers can chat — and possibly all of them

Answer with only A or B."
